product_line_id,business_unit_id,AccidentYear,DevelopmentYear,IncurLoss,CumPaidLoss
5,280,1988,1988,367404,70571
5,280,1988,1989,362988,155905
5,280,1988,1990,347288,220744
5,280,1988,1991,330648,251595
5,280,1988,1992,354690,274156
5,280,1988,1993,350092,287676
5,280,1988,1994,346808,298499
5,280,1988,1995,349124,304873
5,280,1988,1996,348157,321808
5,280,1988,1997,347762,325322
5,280,1989,1989,336928,66547
5,280,1989,1990,316483,136447
5,280,1989,1991,278496,179142
5,280,1989,1992,303033,211343
5,280,1989,1993,299496,231430
5,280,1989,1994,295061,244750
5,280,1989,1995,299251,254557
5,280,1989,1996,297492,270059
5,280,1989,1997,300620,273873
5,280,1990,1990,289198,52233
5,280,1990,1991,311381,133370
5,280,1990,1992,277980,178444
5,280,1990,1993,277732,204442
5,280,1990,1994,276563,222193
5,280,1990,1995,278067,232940
5,280,1990,1996,276704,253337
5,280,1990,1997,281101,256788
5,280,1991,1991,297174,59315
5,280,1991,1992,277209,128051
5,280,1991,1993,269739,169793
5,280,1991,1994,272666,196685
5,280,1991,1995,271318,213165
5,280,1991,1996,267578,234676
5,280,1991,1997,269592,239195
5,280,1992,1992,181796,39991
5,280,1992,1993,205079,89873
5,280,1992,1994,199106,114117
5,280,1992,1995,187833,133003
5,280,1992,1996,185663,154362
5,280,1992,1997,184940,159496
5,280,1993,1993,114807,19744
5,280,1993,1994,114774,47229
5,280,1993,1995,101460,61909
5,280,1993,1996,98430,85099
5,280,1993,1997,96930,87215
5,280,1994,1994,107934,20379
5,280,1994,1995,107569,46773
5,280,1994,1996,97730,88636
5,280,1994,1997,96185,91077
5,280,1995,1995,100686,18756
5,280,1995,1996,94456,84712
5,280,1995,1997,92314,87311
5,280,1996,1996,53381,42609
5,280,1996,1997,51205,44916
5,280,1997,1997,6725,691
5,331,1988,1988,62679,9558
5,331,1988,1989,64000,22778
5,331,1988,1990,65607,33298
5,331,1988,1991,65292,40348
5,331,1988,1992,62250,45146
5,331,1988,1993,61185,48048
5,331,1988,1994,59387,49782
5,331,1988,1995,57138,50623
5,331,1988,1996,53473,51812
5,331,1988,1997,53261,51939
5,331,1989,1989,62058,7913
5,331,1989,1990,56660,19472
5,331,1989,1991,56598,29622
5,331,1989,1992,56831,36816
5,331,1989,1993,55294,40975
5,331,1989,1994,53481,43302
5,331,1989,1995,51379,44707
5,331,1989,1996,48446,45871
5,331,1989,1997,48300,46229
5,331,1990,1990,63955,8744
5,331,1990,1991,61523,24302
5,331,1990,1992,63166,35406
5,331,1990,1993,61402,43412
5,331,1990,1994,59474,48057
5,331,1990,1995,57613,50897
5,331,1990,1996,57161,52879
5,331,1990,1997,56971,53956
5,331,1991,1991,73918,13301
5,331,1991,1992,75094,32950
5,331,1991,1993,73188,47201
5,331,1991,1994,71199,56394
5,331,1991,1995,71056,61650
5,331,1991,1996,70831,65039
5,331,1991,1997,70532,66566
5,331,1992,1992,77143,11424
5,331,1992,1993,75133,29086
5,331,1992,1994,73284,42034
5,331,1992,1995,73155,50910
5,331,1992,1996,68284,56406
5,331,1992,1997,67845,59437
5,331,1993,1993,79925,11792
5,331,1993,1994,78263,27161
5,331,1993,1995,78163,38229
5,331,1993,1996,68546,46722
5,331,1993,1997,67697,50742
5,331,1994,1994,73628,11194
5,331,1994,1995,73554,26893
5,331,1994,1996,70736,38488
5,331,1994,1997,69720,45580
5,331,1995,1995,69521,12550
5,331,1995,1996,80281,31604
5,331,1995,1997,79381,44045
5,331,1996,1996,69720,13194
5,331,1996,1997,73181,31474
5,331,1997,1997,50171,9372
5,296,1988,1988,4636,1326
5,296,1988,1989,5545,3140
5,296,1988,1990,5782,4422
5,296,1988,1991,6342,5036
5,296,1988,1992,6552,5629
5,296,1988,1993,6630,6060
5,296,1988,1994,6711,6249
5,296,1988,1995,6720,6325
5,296,1988,1996,6700,6471
5,296,1988,1997,6619,6489
5,296,1989,1989,5197,1793
5,296,1989,1990,6392,3698
5,296,1989,1991,7173,5098
5,296,1989,1992,7518,6093
5,296,1989,1993,7396,6474
5,296,1989,1994,7527,6497
5,296,1989,1995,7321,6601
5,296,1989,1996,7189,6731
5,296,1989,1997,7134,6896
5,296,1990,1990,7098,1941
5,296,1990,1991,8159,4015
5,296,1990,1992,8626,5589
5,296,1990,1993,8340,6299
5,296,1990,1994,8141,6586
5,296,1990,1995,7817,6834
5,296,1990,1996,7547,7031
5,296,1990,1997,7417,7075
5,296,1991,1991,6419,1477
5,296,1991,1992,7440,3742
5,296,1991,1993,7165,4798
5,296,1991,1994,6684,4986
5,296,1991,1995,6189,5091
5,296,1991,1996,5934,5269
5,296,1991,1997,5788,5323
5,296,1992,1992,6572,1329
5,296,1992,1993,5713,2593
5,296,1992,1994,5328,2832
5,296,1992,1995,4550,3222
5,296,1992,1996,4437,3417
5,296,1992,1997,4325,3527
5,296,1993,1993,2574,519
5,296,1993,1994,2491,927
5,296,1993,1995,2268,1040
5,296,1993,1996,1522,1009
5,296,1993,1997,1444,1035
5,296,1994,1994,1815,578
5,296,1994,1995,1745,966
5,296,1994,1996,1633,902
5,296,1994,1997,1527,1004
5,296,1995,1995,1451,375
5,296,1995,1996,1355,575
5,296,1995,1997,1303,646
5,296,1996,1996,867,306
5,296,1996,1997,938,501
5,296,1997,1997,656,339
5,89,1988,1988,110308,21898
5,89,1988,1989,123010,56339
5,89,1988,1990,125339,78457
5,89,1988,1991,127382,92820
5,89,1988,1992,128246,101261
5,89,1988,1993,128699,103929
5,89,1988,1994,130897,107855
5,89,1988,1995,130559,111901
5,89,1988,1996,131882,112388
5,89,1988,1997,122959,111727
5,89,1989,1989,121104,22549
5,89,1989,1990,128545,59459
5,89,1989,1991,132244,82918
5,89,1989,1992,133841,98768
5,89,1989,1993,135043,105504
5,89,1989,1994,136807,110649
5,89,1989,1995,137598,113833
5,89,1989,1996,138111,116691
5,89,1989,1997,138113,116055
5,89,1990,1990,119767,23881
