product_line_id,business_unit_id,AccidentYear,DevelopmentYear,EarnedPremDIR
5,280,1988,1988,400699
5,280,1988,1989,400699
5,280,1988,1990,400699
5,280,1988,1991,400699
5,280,1988,1992,400699
5,280,1988,1993,400699
5,280,1988,1994,400699
5,280,1988,1995,400699
5,280,1988,1996,400699
5,280,1988,1997,400699
5,280,1989,1989,379603
5,280,1989,1990,379603
5,280,1989,1991,379603
5,280,1989,1992,379603
5,280,1989,1993,379603
5,280,1989,1994,379603
5,280,1989,1995,379603
5,280,1989,1996,379603
5,280,1989,1997,379603
5,280,1990,1990,283661
5,280,1990,1991,283661
5,280,1990,1992,283661
5,280,1990,1993,283661
5,280,1990,1994,283661
5,280,1990,1995,283661
5,280,1990,1996,283661
5,280,1990,1997,283661
5,280,1991,1991,318922
5,280,1991,1992,318922
5,280,1991,1993,318922
5,280,1991,1994,318922
5,280,1991,1995,318922
5,280,1991,1996,318922
5,280,1991,1997,318922
5,280,1992,1992,257236
5,280,1992,1993,257236
5,280,1992,1994,257236
5,280,1992,1995,257236
5,280,1992,1996,257236
5,280,1992,1997,257236
5,280,1993,1993,202249
5,280,1993,1994,202249
5,280,1993,1995,202249
5,280,1993,1996,202249
5,280,1993,1997,202249
5,280,1994,1994,176600
5,280,1994,1995,176600
5,280,1994,1996,176600
5,280,1994,1997,176600
5,280,1995,1995,148185
5,280,1995,1996,148185
5,280,1995,1997,148185
5,280,1996,1996,95488
5,280,1996,1997,95488
5,280,1997,1997,8347
5,331,1988,1988,104437
5,331,1988,1989,104437
5,331,1988,1990,104437
5,331,1988,1991,104437
5,331,1988,1992,104437
5,331,1988,1993,104437
5,331,1988,1994,104437
5,331,1988,1995,104437
5,331,1988,1996,104437
5,331,1988,1997,104437
5,331,1989,1989,88883
5,331,1989,1990,88883
5,331,1989,1991,88883
5,331,1989,1992,88883
5,331,1989,1993,88883
5,331,1989,1994,88883
5,331,1989,1995,88883
5,331,1989,1996,88883
5,331,1989,1997,88883
5,331,1990,1990,85956
5,331,1990,1991,85956
5,331,1990,1992,85956
5,331,1990,1993,85956
5,331,1990,1994,85956
5,331,1990,1995,85956
5,331,1990,1996,85956
5,331,1990,1997,85956
5,331,1991,1991,99339
5,331,1991,1992,99339
5,331,1991,1993,99339
5,331,1991,1994,99339
5,331,1991,1995,99339
5,331,1991,1996,99339
5,331,1991,1997,99339
5,331,1992,1992,104897
5,331,1992,1993,104897
5,331,1992,1994,104897
5,331,1992,1995,104897
5,331,1992,1996,104897
5,331,1992,1997,104897
5,331,1993,1993,119427
5,331,1993,1994,119427
5,331,1993,1995,119427
5,331,1993,1996,119427
5,331,1993,1997,119427
5,331,1994,1994,110784
5,331,1994,1995,110784
5,331,1994,1996,110784
5,331,1994,1997,110784
5,331,1995,1995,77731
5,331,1995,1996,77731
5,331,1995,1997,77731
5,331,1996,1996,63646
5,331,1996,1997,63646
5,331,1997,1997,48052
5,296,1988,1988,10063
5,296,1988,1989,10063
5,296,1988,1990,10063
5,296,1988,1991,10063
5,296,1988,1992,10063
5,296,1988,1993,10063
5,296,1988,1994,10063
5,296,1988,1995,10063
5,296,1988,1996,10063
5,296,1988,1997,10063
5,296,1989,1989,10827
5,296,1989,1990,10827
5,296,1989,1991,10827
5,296,1989,1992,10827
5,296,1989,1993,10827
5,296,1989,1994,10827
5,296,1989,1995,10827
5,296,1989,1996,10827
5,296,1989,1997,10827
5,296,1990,1990,11358
5,296,1990,1991,11358
5,296,1990,1992,11358
5,296,1990,1993,11358
5,296,1990,1994,11358
5,296,1990,1995,11358
5,296,1990,1996,11358
5,296,1990,1997,11358
5,296,1991,1991,11202
5,296,1991,1992,11202
5,296,1991,1993,11202
5,296,1991,1994,11202
5,296,1991,1995,11202
5,296,1991,1996,11202
5,296,1991,1997,11202
5,296,1992,1992,9826
5,296,1992,1993,9826
5,296,1992,1994,9826
5,296,1992,1995,9826
5,296,1992,1996,9826
5,296,1992,1997,9826
5,296,1993,1993,5905
5,296,1993,1994,5905
5,296,1993,1995,5905
5,296,1993,1996,5905
5,296,1993,1997,5905
5,296,1994,1994,4192
5,296,1994,1995,4192
5,296,1994,1996,4192
5,296,1994,1997,4192
5,296,1995,1995,3272
5,296,1995,1996,3272
5,296,1995,1997,3272
5,296,1996,1996,2447
5,296,1996,1997,2447
5,296,1997,1997,1333
5,89,1988,1988,225847
5,89,1988,1989,225847
5,89,1988,1990,225847
5,89,1988,1991,225847
5,89,1988,1992,225847
5,89,1988,1993,225847
5,89,1988,1994,225847
5,89,1988,1995,225847
5,89,1988,1996,225847
5,89,1988,1997,225847
5,89,1989,1989,234956
5,89,1989,1990,234956
5,89,1989,1991,234956
5,89,1989,1992,234956
5,89,1989,1993,234956
5,89,1989,1994,234956
5,89,1989,1995,234956
5,89,1989,1996,234956
5,89,1989,1997,234956
5,89,1990,1990,246707
5,89,1990,1991,246707
5,89,1990,1992,246707
5,89,1990,1993,246707
5,89,1990,1994,246707
5,89,1990,1995,246707
5,89,1990,1996,246707
5,89,1990,1997,246707
5,89,1991,1991,284758
5,89,1991,1992,284758
5,89,1991,1993,284758
5,89,1991,1994,284758
5,89,1991,1995,284758
5,89,1991,1996,284758
5,89,1991,1997,284758
5,89,1992,1992,292319
5,89,1992,1993,292319
5,89,1992,1994,292319
5,89,1992,1995,292319
5,89,1992,1996,292319
5,89,1992,1997,292319
5,89,1993,1993,308666
5,89,1993,1994,308666
5,89,1993,1995,308666
5,89,1993,1996,308666
5,89,1993,1997,308666
5,89,1994,1994,322088
5,89,1994,1995,322088
5,89,1994,1996,322088
5,89,1994,1997,322088
5,89,1995,1995,345680
5,89,1995,1996,345680
5,89,1995,1997,345680
5,89,1996,1996,355938
5,89,1996,1997,355938
5,89,1997,1997,356406
5,300,1988,1988,0
5,300,1988,1989,0
5,300,1988,1990,0
5,300,1988,1991,0
5,300,1988,1992,0
5,300,1988,1993,0
5,300,1988,1994,0
5,300,1988,1995,0
5,300,1988,1996,0
5,300,1988,1997,0
5,300,1989,1989,2
5,300,1989,1990,2
5,300,1989,1991,2
5,300,1989,1992,2
5,300,1989,1993,2
5,300,1989,1994,2
5,300,1989,1995,2
5,300,1989,1996,2
5,300,1989,1997,2
5,300,1990,1990,0
5,300,1990,1991,0
5,300,1990,1992,0
5,300,1990,1993,0
5,300,1990,1994,0
5,300,1990,1995,0
5,300,1990,1996,0
5,300,1990,1997,0
5,300,1991,1991,8
5,300,1991,1992,8
5,300,1991,1993,8
5,300,1991,1994,8
5,300,1991,1995,8
5,300,1991,1996,8
5,300,1991,1997,8
5,300,1992,1992,7
5,300,1992,1993,7
5,300,1992,1994,7
5,300,1992,1995,7
5,300,1992,1996,7
5,300,1992,1997,7
5,300,1993,1993,0
5,300,1993,1994,0
5,300,1993,1995,0
5,300,1993,1996,0
5,300,1993,1997,0
5,300,1994,1994,0
5,300,1994,1995,0
5,300,1994,1996,0
5,300,1994,1997,0
5,300,1995,1995,0
5,300,1995,1996,0
5,300,1995,1997,0
5,300,1996,1996,0
5,300,1996,1997,0
5,300,1997,1997,0
5,110,1988,1988,-27
5,110,1988,1989,-27
5,110,1988,1990,-27
5,110,1988,1991,-27
5,110,1988,1992,-27
5,110,1988,1993,-27
5,110,1988,1994,-27
5,110,1988,1995,-27
5,110,1988,1996,-27
5,110,1988,1997,-27
5,110,1989,1989,170
5,110,1989,1990,170
5,110,1989,1991,170
5,110,1989,1992,170
5,110,1989,1993,170
5,110,1989,1994,170
5,110,1989,1995,170
5,110,1989,1996,170
5,110,1989,1997,170
5,110,1990,1990,277
5,110,1990,1991,277
5,110,1990,1992,277
5,110,1990,1993,277
5,110,1990,1994,277
5,110,1990,1995,277
5,110,1990,1996,277
5,110,1990,1997,277
5,110,1991,1991,9
5,110,1991,1992,9
5,110,1991,1993,9
5,110,1991,1994,9
5,110,1991,1995,9
5,110,1991,1996,9
5,110,1991,1997,9
5,110,1992,1992,51
5,110,1992,1993,51
5,110,1992,1994,51
5,110,1992,1995,51
5,110,1992,1996,51
5,110,1992,1997,51
5,110,1993,1993,168
5,110,1993,1994,168
5,110,1993,1995,168
5,110,1993,1996,168
5,110,1993,1997,168
5,110,1994,1994,62
5,110,1994,1995,62
5,110,1994,1996,62
5,110,1994,1997,62
5,110,1995,1995,1
5,110,1995,1996,1
5,110,1995,1997,1
5,110,1996,1996,10
5,110,1996,1997,10
5,110,1997,1997,27
5,255,1988,1988,6922
5,255,1988,1989,6922
5,255,1988,1990,6922
5,255,1988,1991,6922
5,255,1988,1992,6922
5,255,1988,1993,6922
5,255,1988,1994,6922
5,255,1988,1995,6922
5,255,1988,1996,6922
5,255,1988,1997,6922
5,255,1989,1989,8464
5,255,1989,1990,8464
5,255,1989,1991,8464
5,255,1989,1992,8464
5,255,1989,1993,8464
5,255,1989,1994,8464
5,255,1989,1995,8464
5,255,1989,1996,8464
5,255,1989,1997,8464
5,255,1990,1990,11042
5,255,1990,1991,11042
5,255,1990,1992,11042
5,255,1990,1993,11042
5,255,1990,1994,11042
5,255,1990,1995,11042
5,255,1990,1996,11042
5,255,1990,1997,11042
5,255,1991,1991,14097
5,255,1991,1992,14097
5,255,1991,1993,14097
5,255,1991,1994,14097
5,255,1991,1995,14097
5,255,1991,1996,14097
5,255,1991,1997,14097
5,255,1992,1992,18363
5,255,1992,1993,18363
5,255,1992,1994,18363
5,255,1992,1995,18363
5,255,1992,1996,18363
5,255,1992,1997,18363
5,255,1993,1993,23104
5,255,1993,1994,23104
5,255,1993,1995,23104
5,255,1993,1996,23104
5,255,1993,1997,23104
5,255,1994,1994,24290
5,255,1994,1995,24290
5,255,1994,1996,24290
5,255,1994,1997,24290
5,255,1995,1995,26710
5,255,1995,1996,26710
5,255,1995,1997,26710
5,255,1996,1996,25205
5,255,1996,1997,25205
5,255,1997,1997,21895
5,320,1988,1988,218
5,320,1988,1989,218
5,320,1988,1990,218
5,320,1988,1991,218
5,320,1988,1992,218
5,320,1988,1993,218
5,320,1988,1994,218
5,320,1988,1995,218
5,320,1988,1996,218
5,320,1988,1997,218
5,320,1989,1989,-8
5,320,1989,1990,-8
5,320,1989,1991,-8
5,320,1989,1992,-8
5,320,1989,1993,-8
5,320,1989,1994,-8
5,320,1989,1995,-8
5,320,1989,1996,-8
5,320,1989,1997,-8
5,320,1990,1990,-1
5,320,1990,1991,-1
5,320,1990,1992,-1
5,320,1990,1993,-1
5,320,1990,1994,-1
5,320,1990,1995,-1
5,320,1990,1996,-1
5,320,1990,1997,-1
5,320,1991,1991,0
5,320,1991,1992,0
5,320,1991,1993,0
5,320,1991,1994,0
5,320,1991,1995,0
5,320,1991,1996,0
5,320,1991,1997,0
5,320,1992,1992,0
5,320,1992,1993,0
5,320,1992,1994,0
5,320,1992,1995,0
5,320,1992,1996,0
5,320,1992,1997,0
5,320,1993,1993,0
5,320,1993,1994,0
5,320,1993,1995,0
5,320,1993,1996,0
5,320,1993,1997,0
5,320,1994,1994,0
5,320,1994,1995,0
5,320,1994,1996,0
5,320,1994,1997,0
5,320,1995,1995,0
5,320,1995,1996,0
5,320,1995,1997,0
